                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  WFRC SAB  9 SAB  6 SAB  9 SAB  7 SAB  9 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  WFRC SAB  9 SAB  6 SAB  9 SAB  7 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  WFRC SAB  9 SAB  6 SAB  9 SAB  7 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SAB  9 SAB  6 SAB  9 SAB  7 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SAB  9 SAB  7 SAB  9 SAB  7 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SAB  9 SAB  7 SAB  9 SAB  8 SAB  9 - - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SIP  9 SAB  7 SAB  9 SAB  8 SAB  9 5 - - . - - - -  -
TRY  WFRC SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SIP  9 SAB  7 SIP  9 SAB  8 SAB  9 5 7 - . - - - -  -
TRY  ASTM SAB  6 SAB  6 SAB  6 SAB  6 SAB  9  ASTM SIP  9 SAB  7 SIP  9 SAB  8 SAB  9 5 7 - . - - - -  -
