                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  WFRC SAB  8 SAB  8 SAB  9 SAB  7 SAB  7 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  WFRC SAB  8 SAB  8 SAB  9 SAB  7 SAB  7 - - - . - - - -  -
TRY  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  WFRC SAB  8 SAB  8 SAB  9 SAB  7 SAB  7 - - - . - - - -  -
TRY  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  ASTM SAB  8 SAB  8 SAB  9 SAB  7 SAB  7 - - - . - - - -  -
TRY  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  ASTM SAB  8 SAB  8 SAB  9 SAB  8 SAB  7 - - - . - - - -  -
TRY  WFRC SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  ASTM SAB  8 SAB  8 SAB  9 SAB  8 SAB  8 - - - . - - - -  -
TRY  ASTM SAB  7 SAB  6 SAB  8 SAB  6 SAB  7  ASTM SAB  8 SAB  8 SAB  9 SAB  8 SAB  8 - - - . - - - -  -
TRY  ASTM SAB  7 SAB  7 SAB  8 SAB  6 SAB  7  ASTM SAB  8 SAB  8 SAB  9 SAB  8 SAB  8 - - - . - - - -  -
