                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  WFRC SAB  6 SAB  7 SAB  7 SAB  7 SAB  6 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  WFRC SAB  6 SAB  7 SAB  7 SAB  7 SAB  6 - - - . - - - -  -
TRY  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  WFRC SAB  6 SAB  7 SAB  7 SAB  7 SAB  6 - - - . - - - -  -
TRY  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  ASTM SAB  6 SAB  7 SAB  7 SAB  7 SAB  6 - - - . - - - -  -
TRY  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  ASTM SAB  7 SAB  7 SAB  7 SAB  7 SAB  6 - - - . - - - -  -
TRY  WFRC SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  ASTM SAB  7 SAB  7 SAB  7 SAB  7 SAB  7 - - - . - - - -  -
TRY  ASTM SAB 10 SAB  7 SAB  7 SAB 10 SAB  7  ASTM SAB  7 SAB  7 SAB  7 SAB  7 SAB  7 - - - . - - - -  -
TRY  ASTM SAB 10 SAB  8 SAB  7 SAB 10 SAB  7  ASTM SAB  7 SAB  7 SAB  7 SAB  7 SAB  7 - - - . - - - -  -
TRY  ASTM SAB 10 SAB  8 SAB  7 SAB 10 SAB  8  ASTM SAB  7 SAB  7 SAB  7 SAB  7 SAB  7 - - - . - - - -  -
TRY  ASTM SAB 10 SAB  8 SAB  7 SAB 10 SAB  8  ASTM SAB  7 SIP  7 SAB  7 SAB  7 SAB  7 6 - - . - - - -  -
TRY  ASTM SAB 10 SAB  8 SAB  7 SAB 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SAB  7 SAB  7 6 7 - . - - - -  -
TRY  ASTM SAB 10 SAB  8 SAB  7 SAB 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . - - - -  -
TRY  ASTM SIP 10 SAB  8 SAB  7 SAB 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 - - -  -
TRY  ASTM SIP 10 SAB  8 SAB  7 SIP 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 - -  -
TRY  ASTM SIP 10 SAB  8 SIP  7 SIP 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 -  -
TRY  WATL SIP 10 SAB  8 SIP  7 SIP 10 SAB  8  ASTM SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 -  -
TRY  WATL SIP 10 SAB  8 SIP  7 SIP 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 -  -
TRY  WATL SIP 10 SAB  8 SIP  7 SIP 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 -  -
WTC  WATL SIP 10 SAB  8 SIP  7 SIP 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL SIP 10 SAB  8 SIP  7 DYB 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 SIP  7 DYB 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 SIP  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 SIP  7 DYB 10 SAB  8  WATL SAB  7 SIP  7 SIP  7 DYB  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 SIP  7 DYB 10 SAB  8  WATL SAB  7 SIP  7 DYB  7 DYB  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 SIP  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 DYB  7 DYB  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 DYB  7 DYB  7 SAB  7 6 7 8 . 0 3 2 1  0
WTC  WATL DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 DYB  7 DYB  7 SAB  7 6 7 8 . 0 3 2 1  -6
WTC  WATL DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 0 3 2 1  -6
WTC  WFRC DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 0 3 2 1  -6
WTC  WFRC DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WATL SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 0 3 2 1  -6
WTC  WFRC DYB 10 SAB  8 DYB  7 DYB 10 SAB  8  WFRC SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 0 3 2 1  -6
WTC  WFRC DYB 10 SAB  8 SAB  6 DYB 10 SAB  8  WFRC SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 0 3 - 1  -6
WTC  WFRC SAB  9 SAB  8 SAB  6 DYB 10 SAB  8  WFRC SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . 3 - - 1  -6
WTC  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 DYB  7 SAB  6 DYB  7 SAB  7 6 8 - . - - - 1  -6
WTC  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 DYB  7 SAB  6 SAB  6 SAB  7 6 - - . - - - 1  -6
WTC  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - 1  -6
EOG  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
Game 1 was won by team 0 by knock out in 1 trials.
Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SAB  6 SAB  7 SAB  7 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SAB  6 SAB  7 SIP  7 9 - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 - . - - - -  -
TRY  ASTM SIP  9 SAB  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 - . 0 - - -  -
TRY  ASTM SIP  9 SAB  9 SAB  6 SIP  9 SAB  9  ASTM SAB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 - . 0 3 - -  -
TRY  ASTM SIP  9 SAB  9 SAB  6 SIP  9 SAB  9  ASTM SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 - -  -
TRY  ASTM SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  ASTM SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 -  -
TRY  ASTM SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 -  -
TRY  WATL SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 -  -
TRY  WATL SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 -  -
TRY  WATL SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 -  -
WTC  WATL SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL SIP  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 1  0
WTC  WATL SIP  9 SAB  9 SIP  6 SIP  9 SAB  9  WATL DYB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 1  0
WTC  WATL SIP  9 SAB  9 SIP  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 1  0
WTC  WATL DYB  9 SAB  9 SIP  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 SIP  6 SAB  7 SIP  7 9 7 5 . 0 3 2 1  0
WTC  WATL DYB  9 SAB  9 SIP  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 DYB  6 SAB  7 SIP  7 9 7 5 . 0 3 2 1  0
WTC  WATL DYB  9 SAB  9 SIP  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 3 2 1  0
WTC  WATL DYB  9 SAB  9 DYB  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 3 2 1  0
WTC  WATL DYB  9 SAB  9 DYB  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 3 2 1  -4
WTC  WATL DYB  9 SAB  9 DYB  6 DYB  9 SAB  9  WATL DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 3 2 1  -4
WTC  WATL DYB  9 SAB  9 DYB  6 DYB  9 SAB  9  WFRC DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 3 2 1  -4
WTC  WATL DYB  9 SAB  9 DYB  6 SAB  8 SAB  9  WFRC DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 2 - 1  -4
WTC  WFRC DYB  9 SAB  9 DYB  6 SAB  8 SAB  9  WFRC DYB  7 SAB  7 DYB  6 SAB  7 DYB  7 9 7 5 . 0 2 - 1  -4
WTC  WFRC DYB  9 SAB  9 DYB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 DYB  6 SAB  7 DYB  7 9 7 - . 0 2 - 1  -4
WTC  WFRC SAB  8 SAB  9 DYB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 DYB  6 SAB  7 DYB  7 9 7 - . 2 - - 1  -4
WTC  WFRC SAB  8 SAB  9 DYB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 DYB  6 SAB  7 SAB  6 7 - - . 2 - - 1  -4
WTC  WFRC SAB  8 SAB  9 DYB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . 2 - - 1  -4
WTC  WFRC SAB  8 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - 1  -4
EOG  WFRC SAB  8 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
Game 2 was won by team 0 by knock out in 1 trials.
Game 3
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC SAB  8 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
TRY  WFRC SAB  8 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
TRY  ASTM SAB  8 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  8 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  9 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . - - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SAB  9  WFRC SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . 1 - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SAB  9  ASTM SAB  6 SAB  7 SAB  6 SAB  7 SAB  6 - - - . 1 - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SAB  6 SAB  7 SAB  6 - - - . 1 - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SAB  6 SAB  7 SAB  7 - - - . 1 - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SAB  9  ASTM SAB  7 SAB  7 SIP  6 SAB  7 SAB  7 7 - - . 1 - - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SIP  9  ASTM SAB  7 SAB  7 SIP  6 SAB  7 SAB  7 7 - - . 1 4 - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SIP  9  ASTM SAB  7 SIP  7 SIP  6 SAB  7 SAB  7 7 6 - . 1 4 - -  -
TRY  ASTM SAB  9 SIP  9 SAB  6 SAB  9 SIP  9  ASTM SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 - -  -
TRY  ASTM SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  ASTM SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 -  -
TRY  ASTM SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 -  -
TRY  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 -  -
TRY  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 -  -
TRY  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 -  -
WTC  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 SIP  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 SIP  7 SIP  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 SIP  9 SIP  6 SAB  9 SIP  9  WATL SAB  7 DYB  7 SIP  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 SIP  9 SIP  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 SIP  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 SIP  9 SIP  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 DYB  9 SIP  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  0
WTC  WATL SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  -4
WTC  WATL SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WATL SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  -4
WTC  WATL SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WFRC SAB  7 DYB  7 DYB  6 DYB  7 SAB  7 7 6 8 . 1 4 2 1  -4
WTC  WATL SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WFRC SAB  7 DYB  7 DYB  6 SAB  6 SAB  7 7 6 - . 1 4 2 1  -4
WTC  WFRC SAB  9 DYB  9 DYB  6 SAB  9 DYB  9  WFRC SAB  7 DYB  7 DYB  6 SAB  6 SAB  7 7 6 - . 1 4 2 1  -4
WTC  WFRC SAB  9 DYB  9 SAB  6 SAB  9 DYB  9  WFRC SAB  7 DYB  7 DYB  6 SAB  6 SAB  7 7 6 - . 1 4 - 1  -4
WTC  WFRC SAB  9 DYB  9 SAB  6 SAB  9 SAB  8  WFRC SAB  7 DYB  7 DYB  6 SAB  6 SAB  7 7 6 - . 1 - - 1  -4
WTC  WFRC SAB  9 DYB  9 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 DYB  6 SAB  6 SAB  7 7 - - . 1 - - 1  -4
WTC  WFRC SAB  9 DYB  9 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . 1 - - 1  -4
WTC  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - 1  -4
EOG  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
Game 3 was won by team 0 by knock out in 1 trials.
EOM  WFRC SAB  9 SAB  8 SAB  6 SAB  9 SAB  8  WFRC SAB  7 SAB  6 SAB  6 SAB  6 SAB  7 - - - . - - - -  -
Match was won by team 0 (3-0).
