                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001   001 001  7 001  8 001 10 001  8 001  9   001 001 10 001 10 001  8 001 10 001  7 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
002   001 001  7 001  8 001 10 001  8 001  9   001 001 10 001 10 001  8 001 10 001  7 - - - . - - - -  -
003   001 001  7 001  8 001 10 001  8 001  9   001 001 10 001 10 001  8 001 10 001  7 - - - . - - - -  -
003   001 001  7 001  8 001 10 001  8 001  9   002 001 10 001 10 001  8 001 10 001  7 - - - . - - - -  -
003   001 001  7 001  8 001 10 001  8 001  9   002 001 10 001 10 001  8 001 10 001  7 - - - . - - - -  -
003   001 001  7 001  8 001 10 001  8 001  9   002 001 10 001 10 001  8 001 10 001  8 - - - . - - - -  -
003   002 001  7 001  8 001 10 001  8 001  9   002 001 10 001 10 001  8 001 10 001  8 - - - . - - - -  -
003   002 001  8 001  8 001 10 001  8 001  9   002 001 10 001 10 001  8 001 10 001  8 - - - . - - - -  -
003   002 001  8 001  8 001 10 001  9 001  9   002 001 10 001 10 001  8 001 10 001  8 - - - . - - - -  -
003   002 001  8 002  8 001 10 001  9 001  9   002 001 10 001 10 001  8 001 10 001  8 - - - . 1 - - -  -
003   002 001  8 002  8 001 10 001  9 002  9   002 001 10 001 10 001  8 001 10 001  8 - - - . 1 4 - -  -
003   002 001  8 002  8 001 10 001  9 002  9   002 002 10 001 10 001  8 001 10 001  8 5 - - . 1 4 - -  -
003   002 001  8 002  8 001 10 001  9 002  9   002 002 10 002 10 001  8 001 10 001  8 5 6 - . 1 4 - -  -
003   002 001  8 002  8 001 10 001  9 002  9   002 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 - -  -
003   002 001  8 002  8 002 10 001  9 002  9   002 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 2 -  -
003   003 001  8 002  8 002 10 001  9 002  9   002 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 2 -  -
003   003 001  8 002  8 002 10 001  9 002  9   003 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 2 -  -
003   003 001  8 002  8 002 10 001  9 002  9   003 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 2 -  -
004   003 001  8 002  8 002 10 001  9 002  9   003 002 10 002 10 002  8 001 10 001  8 5 6 7 . 1 4 2 1  0
004   003 001  8 002  8 002 10 001  9 002  9   003 002 10 002 10 003  8 001 10 001  8 5 6 7 . 1 4 2 1  0
004   003 001  8 002  8 002 10 001  9 002  9   003 002 10 003 10 003  8 001 10 001  8 5 6 7 . 1 4 2 1  0
004   003 001  8 002  8 002 10 001  9 002  9   003 003 10 003 10 003  8 001 10 001  8 5 6 7 . 1 4 2 1  0
004   003 001  8 002  8 002 10 001  9 003  9   003 003 10 003 10 003  8 001 10 001  8 5 6 7 . 1 4 2 1  0
