                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001   001 001 10 001  6 001  9 001  9 001  8   001 001  7 001  7 001  9 001  7 001 10 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
002   001 001 10 001  6 001  9 001  9 001  8   001 001  7 001  7 001  9 001  7 001 10 - - - . - - - -  -
003   001 001 10 001  6 001  9 001  9 001  8   001 001  7 001  7 001  9 001  7 001 10 - - - . - - - -  -
003   001 001 10 001  6 001  9 001  9 001  8   002 001  7 001  7 001  9 001  7 001 10 - - - . - - - -  -
003   001 001 10 001  6 001  9 001  9 001  8   002 001  7 001  8 001  9 001  7 001 10 - - - . - - - -  -
003   001 001 10 001  6 001  9 001  9 001  8   002 001  7 001  8 001  9 001  8 001 10 - - - . - - - -  -
003   002 001 10 001  6 001  9 001  9 001  8   002 001  7 001  8 001  9 001  8 001 10 - - - . - - - -  -
003   002 001 10 001  7 001  9 001  9 001  8   002 001  7 001  8 001  9 001  8 001 10 - - - . - - - -  -
003   002 001 10 001  7 001  9 001  9 001  9   002 001  7 001  8 001  9 001  8 001 10 - - - . - - - -  -
003   002 001 10 001  7 002  9 001  9 001  9   002 001  7 001  8 001  9 001  8 001 10 - - - . 2 - - -  -
003   002 001 10 001  7 002  9 002  9 001  9   002 001  7 001  8 001  9 001  8 001 10 - - - . 2 3 - -  -
003   002 001 10 001  7 002  9 002  9 001  9   002 002  7 001  8 001  9 001  8 001 10 5 - - . 2 3 - -  -
003   002 001 10 001  7 002  9 002  9 001  9   002 002  7 001  8 002  9 001  8 001 10 5 7 - . 2 3 - -  -
003   002 002 10 001  7 002  9 002  9 001  9   002 002  7 001  8 002  9 001  8 001 10 5 7 - . 2 3 0 -  -
003   002 002 10 001  7 002  9 002  9 001  9   002 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 -  -
003   003 002 10 001  7 002  9 002  9 001  9   002 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 -  -
003   003 002 10 001  7 002  9 002  9 001  9   003 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 -  -
003   003 002 10 001  7 002  9 002  9 001  9   003 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 -  -
004   003 002 10 001  7 002  9 002  9 001  9   003 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 002  9 002  9 001  9   003 002  7 001  8 002  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 002  9 002  9 001  9   003 002  7 001  8 003  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 002  9 002  9 001  9   003 003  7 001  8 003  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 002  9 003  9 001  9   003 003  7 001  8 003  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 003  9 003  9 001  9   003 003  7 001  8 003  9 001  8 002 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 003  9 003  9 001  9   003 003  7 001  8 003  9 001  8 003 10 5 7 9 . 2 3 0 1  0
004   003 003 10 001  7 003  9 003  9 001  9   003 003  7 001  8 003  9 001  8 003 10 5 7 9 . 2 3 0 1  -2
004   003 003 10 001  7 003  9 003  9 001  9   003 001  6 001  8 003  9 001  8 003 10 7 9 - . 2 3 0 1  -2
004   001 003 10 001  7 003  9 003  9 001  9   003 001  6 001  8 003  9 001  8 003 10 7 9 - . 2 3 0 1  -2
004   001 003 10 001  7 003  9 003  9 001  9   003 001  6 001  8 001  8 001  8 003 10 9 - - . 2 3 0 1  -2
004   001 003 10 001  7 003  9 003  9 001  9   001 001  6 001  8 001  8 001  8 003 10 9 - - . 2 3 0 1  -2
004   001 003 10 001  7 003  9 003  9 001  9   001 001  6 001  8 001  8 001  8 001  9 - - - . 2 3 0 1  -2
004   001 001  9 001  7 003  9 003  9 001  9   001 001  6 001  8 001  8 001  8 001  9 - - - . 2 3 - 1  -2
004   001 001  9 001  7 001  8 003  9 001  9   001 001  6 001  8 001  8 001  8 001  9 - - - . 3 - - 1  -2
004   001 001  9 001  7 001  8 001  8 001  9   001 001  6 001  8 001  8 001  8 001  9 - - - . - - - 1  -2
003   001 001  9 001  7 001  8 001  8 001  9   001 001  6 001  8 001  8 001  8 001  9 - - - . - - - -  -
003   001 001  9 001  7 001  8 001  8 001  9   002 001  6 001  8 001  8 001  8 001  9 - - - . - - - -  -
003   001 001  9 001  7 001  8 001  8 001  9   002 001  7 001  8 001  8 001  8 001  9 - - - . - - - -  -
003   001 001  9 001  7 001  8 001  8 001  9   002 001  7 001  8 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  9 001  7 001  8 001  8 001  9   002 001  7 001  8 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  9 001  8 001  8 001  8 001  9   002 001  7 001  8 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  9 001  8 001  8 001  8 001 10   002 001  7 001  8 001  8 001  9 001  9 - - - . - - - -  -
003   002 001  9 001  8 001  8 001  8 001 10   002 001  7 002  8 001  8 001  9 001  9 6 - - . - - - -  -
003   002 001  9 001  8 001  8 001  8 001 10   002 001  7 002  8 002  8 001  9 001  9 6 7 - . - - - -  -
003   002 001  9 001  8 001  8 001  8 001 10   002 001  7 002  8 002  8 001  9 002  9 6 7 9 . - - - -  -
003   002 002  9 001  8 001  8 001  8 001 10   002 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 - - -  -
003   002 002  9 001  8 002  8 001  8 001 10   002 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 - -  -
003   002 002  9 001  8 002  8 002  8 001 10   002 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 -  -
003   003 002  9 001  8 002  8 002  8 001 10   002 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 -  -
003   003 002  9 001  8 002  8 002  8 001 10   003 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 -  -
003   003 002  9 001  8 002  8 002  8 001 10   003 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 -  -
004   003 002  9 001  8 002  8 002  8 001 10   003 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 2  -2
004   003 002  9 001  8 003  8 002  8 001 10   003 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 002  8 001 10   003 001  7 002  8 002  8 001  9 002  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 002  8 001 10   003 001  7 002  8 002  8 001  9 003  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 002  8 001 10   003 001  7 002  8 003  8 001  9 003  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 002  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 003  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 0 2 3 2  -2
004   003 003  9 001  8 003  8 003  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 0 2 3 2  -2
004   003 001  8 001  8 003  8 003  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 2 3 - 2  -2
004   001 001  8 001  8 003  8 003  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 2 3 - 2  -2
004   001 001  8 001  8 001  7 003  8 001 10   003 001  7 003  8 003  8 001  9 003  9 6 7 9 . 3 - - 2  -2
004   001 001  8 001  8 001  7 003  8 001 10   001 001  7 003  8 003  8 001  9 003  9 6 7 9 . 3 - - 2  -2
004   001 001  8 001  8 001  7 003  8 001 10   001 001  7 001  7 003  8 001  9 003  9 7 9 - . 3 - - 2  -2
004   001 001  8 001  8 001  7 003  8 001 10   001 001  7 001  7 003  8 001  9 001  8 7 - - . 3 - - 2  -2
004   001 001  8 001  8 001  7 003  8 001 10   001 001  7 001  7 001  7 001  9 001  8 - - - . 3 - - 2  -2
004   001 001  8 001  8 001  7 001  7 001 10   001 001  7 001  7 001  7 001  9 001  8 - - - . - - - 2  -2
003   001 001  8 001  8 001  7 001  7 001 10   001 001  7 001  7 001  7 001  9 001  8 - - - . - - - -  -
003   001 001  8 001  8 001  7 001  7 001 10   002 001  7 001  7 001  7 001  9 001  8 - - - . - - - -  -
003   001 001  8 001  8 001  7 001  7 001 10   002 001  7 001  8 001  7 001  9 001  8 - - - . - - - -  -
003   001 001  8 001  8 001  7 001  7 001 10   002 001  7 001  8 001  8 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  8 001  7 001  7 001 10   002 001  7 001  8 001  8 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  7 001  7 001 10   002 001  7 001  8 001  8 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  7 001  8 001 10   002 001  7 001  8 001  8 001  9 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  7 001  8 001 10   002 001  7 001  8 001  8 002  9 001  8 8 - - . - - - -  -
003   002 001  8 001  9 001  7 001  8 001 10   002 002  7 001  8 001  8 002  9 001  8 8 5 - . - - - -  -
003   002 002  8 001  9 001  7 001  8 001 10   002 002  7 001  8 001  8 002  9 001  8 8 5 - . 0 - - -  -
003   002 002  8 001  9 002  7 001  8 001 10   002 002  7 001  8 001  8 002  9 001  8 8 5 - . 0 2 - -  -
003   002 002  8 001  9 002  7 001  8 001 10   002 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 - -  -
003   002 002  8 001  9 002  7 001  8 002 10   002 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 4 -  -
003   003 002  8 001  9 002  7 001  8 002 10   002 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 4 -  -
003   003 002  8 001  9 002  7 001  8 002 10   003 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 4 -  -
003   003 002  8 001  9 002  7 001  8 002 10   003 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 4 -  -
004   003 002  8 001  9 002  7 001  8 002 10   003 002  7 001  8 001  8 002  9 002  8 8 5 9 . 0 2 4 3  -2
004   003 002  8 001  9 002  7 001  8 002 10   003 002  7 001  8 001  8 002  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 002  8 001  9 003  7 001  8 002 10   003 002  7 001  8 001  8 002  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 003  8 001  9 003  7 001  8 002 10   003 002  7 001  8 001  8 002  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 003  8 001  9 003  7 001  8 002 10   003 003  7 001  8 001  8 002  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 003  8 001  9 003  7 001  8 002 10   003 003  7 001  8 001  8 003  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 003  8 001  9 003  7 001  8 003 10   003 003  7 001  8 001  8 003  9 003  8 8 5 9 . 0 2 4 3  -2
004   003 003  8 001  9 003  7 001  8 003 10   003 003  7 001  8 001  8 003  9 003  8 8 5 9 . 0 2 4 3  -3
004   003 003  8 001  9 003  7 001  8 003 10   003 003  7 001  8 001  8 001  8 003  8 5 9 - . 0 2 4 3  -3
004   001 003  8 001  9 003  7 001  8 003 10   003 003  7 001  8 001  8 001  8 003  8 5 9 - . 0 2 4 3  -3
004   001 003  8 001  9 003  7 001  8 003 10   003 001  6 001  8 001  8 001  8 003  8 9 - - . 0 2 4 3  -3
004   001 003  8 001  9 003  7 001  8 003 10   001 001  6 001  8 001  8 001  8 003  8 9 - - . 0 2 4 3  -3
004   001 003  8 001  9 003  7 001  8 001  9   001 001  6 001  8 001  8 001  8 003  8 9 - - . 0 2 - 3  -3
004   001 003  8 001  9 003  7 001  8 001  9   001 001  6 001  8 001  8 001  8 001  7 - - - . 0 2 - 3  -3
004   001 003  8 001  9 001  6 001  8 001  9   001 001  6 001  8 001  8 001  8 001  7 - - - . 0 - - 3  -3
004   001 001  7 001  9 001  6 001  8 001  9   001 001  6 001  8 001  8 001  8 001  7 - - - . - - - 3  -3
003   001 001  7 001  9 001  6 001  8 001  9   001 001  6 001  8 001  8 001  8 001  7 - - - . - - - -  -
003   001 001  7 001  9 001  6 001  8 001  9   002 001  6 001  8 001  8 001  8 001  7 - - - . - - - -  -
003   001 001  7 001  9 001  6 001  8 001  9   002 001  7 001  8 001  8 001  8 001  7 - - - . - - - -  -
003   001 001  7 001  9 001  6 001  8 001  9   002 001  7 001  8 001  8 001  8 001  8 - - - . - - - -  -
003   002 001  7 001  9 001  6 001  8 001  9   002 001  7 001  8 001  8 001  8 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  6 001  8 001  9   002 001  7 001  8 001  8 001  8 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  6 001  9 001  9   002 001  7 001  8 001  8 001  8 001  8 - - - . - - - -  -
003   002 001  8 001  9 001  6 001  9 001  9   002 001  7 002  8 001  8 001  8 001  8 6 - - . - - - -  -
003   002 001  8 001  9 001  6 001  9 001  9   002 001  7 002  8 002  8 001  8 001  8 6 7 - . - - - -  -
003   002 001  8 001  9 001  6 001  9 001  9   002 001  7 002  8 002  8 002  8 001  8 6 7 8 . - - - -  -
003   002 001  8 001  9 001  6 001  9 002  9   002 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 - - -  -
003   002 001  8 001  9 002  6 001  9 002  9   002 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 - -  -
003   002 001  8 002  9 002  6 001  9 002  9   002 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 -  -
003   003 001  8 002  9 002  6 001  9 002  9   002 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 -  -
003   003 001  8 002  9 002  6 001  9 002  9   003 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 -  -
003   003 001  8 002  9 002  6 001  9 002  9   003 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 -  -
004   003 001  8 002  9 002  6 001  9 002  9   003 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 4  -3
004   003 001  8 002  9 003  6 001  9 002  9   003 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 4  -3
004   003 001  8 002  9 003  6 001  9 003  9   003 001  7 002  8 002  8 002  8 001  8 6 7 8 . 4 2 1 4  -3
004   003 001  8 002  9 003  6 001  9 003  9   003 001  7 002  8 002  8 003  8 001  8 6 7 8 . 4 2 1 4  -3
004   003 001  8 002  9 003  6 001  9 003  9   003 001  7 002  8 003  8 003  8 001  8 6 7 8 . 4 2 1 4  -3
